name,cottage_id,cottage_image,bedrooms,sleeps,rating,price
Holiday Gites to let in rural Brittany, BM006042,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM006042/index.htm,Bedrooms 2, Sleeps 5,10/10,£400 to £600 pw
Family gite accommodation nr St Jean,d'Angély ,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002197_D/index.htm,Bedrooms 3, Sleeps 6,6,£445 to £975 pw
"Cottage rental in Chateau grounds, Manche", NM001773_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM001773_C/index.htm,Bedrooms 3, Sleeps 6,10/10,£390 to £460 pw
Holiday cottage easy access River Auvezere, AD003413,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD003413/index.htm,Bedrooms 2, Sleeps 4,9.5/10,£445 to £545 pw
"House & gite to let with pool, Aquitaine", AD007678,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007678/index.htm,Bedrooms 5, Sleeps 10,10,£2250 to £2950 pw
"Large gite to let, shared pool, Deux Sevres", PS006101,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS006101/index.htm,Bedrooms 4, Sleeps 10,10/10,£1435 pw
Deux Sevres holiday gite with private pool, PS004928,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS004928/index.htm,Bedrooms 5, Sleeps 10,9.4/10,£1415 pw
"House for holiday lets, St Fraigne Charente", PC002603,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC002603/index.htm,Bedrooms 3, Sleeps 7,9.3/10,£455 to £595 pw
Holiday house in Brittany, BM007376,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007376/index.htm,Bedrooms 4, Sleeps 8,8,£450 to £850 pw
Holiday cottage for 2 in Limousin, UO007581,https://www.holidayfrancedirect.co.uk/holiday-rentals/UO007581/index.htm,Bedrooms 1, Sleeps 2,2,£539 pw
Cottage for holiday rental Lot et Garonne, AT003076,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT003076/index.htm,Bedrooms 2, Sleeps 5,10/10,£525 to £845 pw
5 bedroom Cottage for holiday rental Manche, NM003330,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM003330/index.htm,Bedrooms 5, Sleeps 10,9.5/10,£1650 pw
Unique holiday gite in the Dordogne, AD006226,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006226/index.htm,Bedrooms 2, Sleeps 5,5,£400 to £900 pw
Holiday cottage in Rural Nord Pas de Calais, DP007196,https://www.holidayfrancedirect.co.uk/holiday-rentals/DP007196/index.htm,Bedrooms 3, Sleeps 6,6,£434 to £784 pw
Holiday cottage with private pool in Dordogne, AD005635_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005635_A/index.htm,Bedrooms 2, Sleeps 4,4,£499 to £999 pw
Holiday gite in medieval village of Tremolat, AD006493,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006493/index.htm,Bedrooms 2, Sleeps 4,9.8/10,£600 to £1200 pw
Holiday let with private pool Peaule Brittany, BM003163,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003163/index.htm,Bedrooms 4, Sleeps 8,9.7/10,£675 to £1625 pw
"Pretty gite to let in Tremolat, Dordogne", AD007400,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007400/index.htm,Bedrooms 1, Sleeps 2,2,£415 to £550 pw
Luxury gite with shared pool to let nr Cognac, PM005512,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005512/index.htm,Bedrooms 2, Sleeps 4,10/10,£540 to £865 pw
Lovely cottage to let with a pool in Normandy, NM007329,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007329/index.htm,Bedrooms 1, Sleeps 2,10/10,£250 to £395 pw
"Cottage let, heated pool & hot tub, Dordogne", AD007219,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007219/index.htm,Bedrooms 1, Sleeps 2,2,£630 to £950 pw
Holiday gite to let in manor grounds nr Najac, MN005369,https://www.holidayfrancedirect.co.uk/holiday-rentals/MN005369/index.htm,Bedrooms 2, Sleeps 4,10/10,£495 to £750 pw
"Holiday gite for 2 in rural & pool, Normandy", NM005324,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005324/index.htm,Bedrooms 1, Sleeps 2,10/10,£350 to £475 pw
"Beautiful stone gite with views, nr Montendre", PM006863,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM006863/index.htm,Bedrooms 3, Sleeps 6,10/10,£2000 to £2200 pw
"Large holiday gite with pool, Normandy coast", NM005751,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM005751/index.htm,Bedrooms 3, Sleeps 6,6,£1095 pw
Holiday Let with private pool in Aquitaine, AT004834,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT004834/index.htm,Bedrooms 1, Sleeps 4,10/10,£350 to £500 pw
Private holiday cottage & pool in Aquitaine, AT006649,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT006649/index.htm,Bedrooms 3, Sleeps 6,9.8/10,£650 to £1400 pw
Holiday house near to beaches in Normandy, NM007450,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007450/index.htm,Bedrooms 4, Sleeps 8,8,£800 to £920 pw
"Perigordian stone cottage to let, Aquitaine", AD007476_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007476_A/index.htm,Bedrooms 2, Sleeps 4,4,£560 to £900 pw
Farmhouse to let in Brittany, BF003894,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF003894/index.htm,Bedrooms 3, Sleeps 6,9.5/10,£640 to £965 pw
Holiday gite for 4 in Normandy village, NM006359,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM006359/index.htm,Bedrooms 2, Sleeps 4,9.5/10,£350 pw
Holiday gite set in Dordogne Vineyard, AD006949,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006949/index.htm,Bedrooms 2, Sleeps 4,9.9/10,£335 to £525 pw
Poolside gite for holidays in Charente, PC006588,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006588/index.htm,Bedrooms 2, Sleeps 4,10/10,£465 to £862 pw
Converted barn in Midi Pyrenees to let, ML004295,https://www.holidayfrancedirect.co.uk/holiday-rentals/ML004295/index.htm,Bedrooms 3, Sleeps 6,9.9/10,£355 to £990 pw
Cosy Cottage and pool to let rural Charente, PC007151,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC007151/index.htm,Bedrooms 3, Sleeps 6,6,£505 to £630 pw
Breton holiday cottage to let in Brittany, BI003299,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI003299/index.htm,Bedrooms 2, Sleeps 4,10/10,£534 to £634 pw
Holiday gite in Normandy with private pool, NM007043,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007043/index.htm,Bedrooms 3, Sleeps 8,8,£870 to £1270 pw
"Holiday let in Vendee, private heated pool", LV004874,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV004874/index.htm,Bedrooms 2, Sleeps 6,9.7/10,£693 to £1150 pw
"Holiday house, 1 block to the sea, Cancale", BI007144,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI007144/index.htm,Bedrooms 3, Sleeps 8,8,£590 to £955 pw
Holiday gites with pool for rental Dordogne, AD000161_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD000161_C/index.htm,Bedrooms 17, Sleeps 40,40,£370 to £990 pw
"Riverbank Cottage to let, sleeps 5 in Coivert", PM007546,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007546/index.htm,Bedrooms 2, Sleeps 5,5,£485 to £574 pw
"Holiday let with heated pool, rural Aquitaine", AT005815,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT005815/index.htm,Bedrooms 3, Sleeps 7,10/10,£675 to £1260 pw
Holiday gite for rental in Brittany, BN000450_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN000450_A/index.htm,Bedrooms 8, Sleeps 15,15,£260 to £590 pw
Holiday cottage to let near the Vendee coast, LV006429,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV006429/index.htm,Bedrooms 3, Sleeps 6,10/10,£400 to £895 pw
One of 2 Gites for holiday rental Dordogne, AD001654,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD001654/index.htm,Bedrooms 3, Sleeps 6,10/10,£400 to £450 pw
One of seven cottages in St Jean,d'Angély ,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002399_G/index.htm,Bedrooms 4, Sleeps 8,8,£1170 to £1650 pw
Holiday cottages/apartments to let nr Benodet, BF000236_J,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF000236_J/index.htm,Bedrooms 18, Sleeps 37,37,€480 to €1010 pw
Traditional gite for holidays in Brittany, BN007723_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007723_B/index.htm,Bedrooms 3, Sleeps 6,6,€540 to €615 pw
Lovely gite to let with a pool in Deux Sevres, PS007613,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS007613/index.htm,Bedrooms 3, Sleeps 12,12,£2500 pw
Cottage for holiday rental Loire Atlantique, LA003049,https://www.holidayfrancedirect.co.uk/holiday-rentals/LA003049/index.htm,Bedrooms 2, Sleeps 4,10/10,£301 to £553 pw
"Beautiful stone gite with views, nr Montendre", PM006863,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM006863/index.htm,Bedrooms 3, Sleeps 6,10/10,£2000 to £2200 pw
Gite with shared pool in Languedoc, RA005533,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA005533/index.htm,Bedrooms 3, Sleeps 6,6,£560 to £840 pw
Holiday gite in Brittany, BI007432,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI007432/index.htm,Bedrooms 2, Sleeps 4,4,£665 pw
Cottage for holiday let inBrittany, BM004184,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM004184/index.htm,Bedrooms 3, Sleeps 6,10/10,£399 to £650 pw
Cottage to let in beautiful Normandy, NM007473,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007473/index.htm,Bedrooms 2, Sleeps 4,4,£560 pw
Large gite to let on complex in Charente, PC006033_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006033_B/index.htm,Bedrooms 4, Sleeps 10,10,£1120 to £1456 pw
Lovelyl cottage to let with pool in Dordogne, AD007591,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007591/index.htm,Bedrooms 3, Sleeps 6,6,£1675 to £2220 pw
Holiday Gite for 4 with pool nr Le Mans, LS007009,https://www.holidayfrancedirect.co.uk/holiday-rentals/LS007009/index.htm,Bedrooms 2, Sleeps 4,4,£525 to £1100 pw
Romantic holiday gite for 2 in rural Dordogne, AD006643,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006643/index.htm,Bedrooms 1, Sleeps 2,10/10,£450 pw
Family Holiday Gite to let in Gibourne, PM007079,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007079/index.htm,Bedrooms 4, Sleeps 9,9,£575 to £1325 pw
Holiday cottage rental Brittany coast 10 mins, BM000892_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM000892_A/index.htm,Bedrooms 2, Sleeps 4,10/10,£350 to £575 pw
Holiday gite to let in Languedoc, RA004992,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA004992/index.htm,Bedrooms 3, Sleeps 6,9.5/10,£499 to £1099 pw
Lovely gite with private terrace in Vienne, PV006822,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV006822/index.htm,Bedrooms 2, Sleeps 4,10/10,£455 to £644 pw
Beautiful Brittany Farmhouse to let by a Lake, BN003616,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN003616/index.htm,Bedrooms 4, Sleeps 8,8,£560 to £1120 pw
Manor and pool for holiday rental in Brittany, BM003947,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003947/index.htm,Bedrooms 5, Sleeps 10,9.6/10,£1050 to £1845 pw
Holiday cottage on complex in Brittany, BM006842,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM006842/index.htm,Bedrooms 2, Sleeps 5,5,£460 to £935 pw
Village house in Languedoc to let, RH005468,https://www.holidayfrancedirect.co.uk/holiday-rentals/RH005468/index.htm,Bedrooms 3, Sleeps 5,9.9/10,£400 to £640 pw
Holiday cottage with large pool near Matha, PM004717,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM004717/index.htm,Bedrooms 2, Sleeps 4,4,£225 to £725 pw
Breton farmhouse holiday lets Henanbihen, BN002509,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN002509/index.htm,Bedrooms 6, Sleeps 11,8.4/10,£615 to £970 pw
Cosy Holiday Gite to let nr Combourg Brittany, BI005973_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI005973_A/index.htm,Bedrooms 2, Sleeps 4,4,€650 to €880 pw
Cosy holiday gite for 2 in rural Aveyron, MV006133,https://www.holidayfrancedirect.co.uk/holiday-rentals/MV006133/index.htm,Bedrooms 1, Sleeps 2,10/10,£495 to £585 pw
Pretty Gite with shared pool near Riberac, PC004846_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004846_A/index.htm,Bedrooms 16, Sleeps 28,9.8/10,£450 to £1560 pw
Holiday cottage with pool in rural Aquitaine, AT005569,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT005569/index.htm,Bedrooms 3, Sleeps 8,10/10,£995 to £1795 pw
"Holiday gite for couples, Tremolat, Dordogne", AD005942,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD005942/index.htm,Bedrooms 1, Sleeps 2,9.6/10,£495 to £895 pw
Recently renovated gite in Charente Maritime, PM006985,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM006985/index.htm,Bedrooms 4, Sleeps 8,8,£1260 pw
"Cottage to let with pool and views, Aquitaine", AP007392,https://www.holidayfrancedirect.co.uk/holiday-rentals/AP007392/index.htm,Bedrooms 2, Sleeps 4,4,£385 to £980 pw
Spacious holiday gite with pool near Brantome, AD006978,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD006978/index.htm,Bedrooms 4, Sleeps 10,9.8/10,£900 to £1550 pw
Charming Gite to let in rural Normandy, NM003083,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM003083/index.htm,Bedrooms 3, Sleeps 6,10/10,£434 to £634 pw
Gite for holiday rental in Brittany, BM003605,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003605/index.htm,Bedrooms 3, Sleeps 7,9.1/10,£400 to £695 pw
"Perigordian stone cottage to let, Aquitaine", AD007476_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007476_A/index.htm,Bedrooms 4, Sleeps 8,8,£530 to £900 pw
Converted barn to let with pool near Poitiers, PV006203,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV006203/index.htm,Bedrooms 2, Sleeps 5,10/10,£560 to £840 pw
Peaceful holiday cottage in rural Normandy, NO004308,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO004308/index.htm,Bedrooms 1, Sleeps 4,9.7/10,£250 to £380 pw
"Holiday house, 1 block to the sea, Cancale", BI007144,https://www.holidayfrancedirect.co.uk/holiday-rentals/BI007144/index.htm,Bedrooms 3, Sleeps 8,8,£590 to £955 pw
"Holiday gite in Noyal Pontivy, Brittany", BM006736,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM006736/index.htm,Bedrooms 2, Sleeps 4,4,£409 to £559 pw
Large holiday gite & pool in rural Aquitaine, AT005499,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT005499/index.htm,Bedrooms 4, Sleeps 10,9.7/10,£1680 pw
Large Cottage & pool to let Charente Maritime, PM007136_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM007136_B/index.htm,Bedrooms 5, Sleeps 12,12,£375 to £750 pw
Holiday cottage in Brittany, BM006843,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM006843/index.htm,Bedrooms 2, Sleeps 2,2,£430 to £830 pw
Gite for holiday rental in Western Loire, LS004063,https://www.holidayfrancedirect.co.uk/holiday-rentals/LS004063/index.htm,Bedrooms 3, Sleeps 6,6,£950 pw
"Cottage to let in Cotes d'Armor, Brtittany", BN007484_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007484_B/index.htm,Bedrooms 3, Sleeps 6,6,£375 to £485 pw
"Large holiday gite with pool, Midi Pyrenees", MT006002,https://www.holidayfrancedirect.co.uk/holiday-rentals/MT006002/index.htm,Bedrooms 3, Sleeps 9,9,£830 to £1465 pw
"Farmhouse, all year heated pool, Deux Sevres", PS006715,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS006715/index.htm,Bedrooms 3, Sleeps 6,10/10,£700 to £1250 pw
Rose Cottage for rent in Mayenne, Sleeps 2 ,https://www.holidayfrancedirect.co.uk/holiday-rentals/LM003633_A/index.htm,Bedrooms 1, Sleeps 2,9.6/10,£440 pw
Holiday let with private pool in Dordogne, AD004832,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004832/index.htm,Bedrooms 3, Sleeps 7,7,£915 to £1395 pw
Holiday farmhouse with pool near Bordeaux, AG006472,https://www.holidayfrancedirect.co.uk/holiday-rentals/AG006472/index.htm,Bedrooms 4, Sleeps 9,9,£955 to £1335 pw
"Farmhouse to let, private pool, Midi Pyrenees", MN007633,https://www.holidayfrancedirect.co.uk/holiday-rentals/MN007633/index.htm,Bedrooms 4, Sleeps 7,7,£1050 to £1400 pw
Family gite with pool for holidays in Brossac, PC004917,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004917/index.htm,Bedrooms 3, Sleeps 10,10,£582 to £1200 pw
Lovely cottage to let with pool in Dordogne, AD007595,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007595/index.htm,Bedrooms 4, Sleeps 8,8,£1815 to £2520 pw
Lovely cottage to let with a pool in Normandy, NM007329,https://www.holidayfrancedirect.co.uk/holiday-rentals/NM007329/index.htm,Bedrooms 1, Sleeps 2,10/10,£250 to £395 pw
Riverside holiday cottage to rent in Brittany, BM001157,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM001157/index.htm,Bedrooms 2, Sleeps 6,9.5/10,£395 to £550 pw
Barn conversion in Lot for holiday rental, ML004096,https://www.holidayfrancedirect.co.uk/holiday-rentals/ML004096/index.htm,Bedrooms 3, Sleeps 8,9.8/10,£650 to £1200 pw
"Apartment to let, sleeps 4, Limousin", UH007237,https://www.holidayfrancedirect.co.uk/holiday-rentals/UH007237/index.htm,Bedrooms 2, Sleeps 4,10/10,£500 to £600 pw
Rural Stone Cottage let in Correze Limousin, UO003476,https://www.holidayfrancedirect.co.uk/holiday-rentals/UO003476/index.htm,Bedrooms 2, Sleeps 4,9.9/10,£360 to £485 pw
"Pretty gite to let in Tremolat, Dordogne", AD007400,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD007400/index.htm,Bedrooms 1, Sleeps 2,2,£415 to £550 pw
Family gite near sandy beaches in Finistere, BF005897,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF005897/index.htm,Bedrooms 2, Sleeps 4,4,£250 to £430 pw
"Lovely gite to let in quiet hamlet, Brittany", BN007437,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN007437/index.htm,Bedrooms 3, Sleeps 6,6,£450 to £750 pw
Holiday cottage to rent in Brittany, BM002070_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM002070_A/index.htm,Bedrooms 4, Sleeps 8,8,£495 to £1150 pw
Holiday let with pool in rural Western Loire, LL005072_C,https://www.holidayfrancedirect.co.uk/holiday-rentals/LL005072_C/index.htm,Bedrooms 2, Sleeps 4,9.6/10,€495 to €675 pw
"Gite for 7 with pool in St Fraigne, Charente", PC007204,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC007204/index.htm,Bedrooms 3, Sleeps 7,7,£900 to £1250 pw
Holiday cottage in Brittany, BM007540,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM007540/index.htm,Bedrooms 2, Sleeps 5,9.2/10,£350 to £450 pw
"Holiday cottage in Brittany, pets welcome", BM004940,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM004940/index.htm,Bedrooms 1, Sleeps 2,8.5/10,£220 to £400 pw
Holiday house to rent in Brittany, BF002650,https://www.holidayfrancedirect.co.uk/holiday-rentals/BF002650/index.htm,Bedrooms 3, Sleeps 8,8,£400 to £800 pw
Luxury farmhouse to let + pool in Aquitaine, AD004608,https://www.holidayfrancedirect.co.uk/holiday-rentals/AD004608/index.htm,Bedrooms 3, Sleeps 6,9.2/10,£1050 to £1395 pw
Holiday rental & pool nr St Jean,d'Angély ,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM000398_C/index.htm,Bedrooms 7, Sleeps 18,18,£500 to £1350 pw
Gite with Shared Pool for Holiday in Brittany, BM002903_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM002903_B/index.htm,Bedrooms 5, Sleeps 12,9.4/10,€1195 to €2525 pw
"Spacious gite with pool to let, Chavenat", PC004232,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC004232/index.htm,Bedrooms 2, Sleeps 6,6,£440 to £1075 pw
Holiday let in rural Vendee orchard setting, LV004879,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV004879/index.htm,Bedrooms 2, Sleeps 5,5,£300 to £525 pw
"Characterful holiday gite & pool, Aquitaine", AT007406,https://www.holidayfrancedirect.co.uk/holiday-rentals/AT007406/index.htm,Bedrooms 3, Sleeps 6,6,£800 to £1400 pw
"Gite to let, 23ft heated pool, Midi Pyrenees", MN004257,https://www.holidayfrancedirect.co.uk/holiday-rentals/MN004257/index.htm,Bedrooms 3, Sleeps 6,10/10,£500 to £1600 pw
"Holiday gite & pool, fishing lake, Limousin", UH004639,https://www.holidayfrancedirect.co.uk/holiday-rentals/UH004639/index.htm,Bedrooms 2, Sleeps 6,9.6/10,£475 to £675 pw
"Pretty gite to let with rural views, Tarn", MT007524,https://www.holidayfrancedirect.co.uk/holiday-rentals/MT007524/index.htm,Bedrooms 2, Sleeps 4,4,£350 to £550 pw
Gite with shared pool in Languedoc, RA005532,https://www.holidayfrancedirect.co.uk/holiday-rentals/RA005532/index.htm,Bedrooms 3, Sleeps 6,6,£490 to £770 pw
"Pretty holiday cottage to rent/B&B, St Dolay", BM001210,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM001210/index.htm,Bedrooms 2, Sleeps 5,9.8/10,£450 pw
"Holiday cottage with shared pool, Brittany", BM006538,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM006538/index.htm,Bedrooms 3, Sleeps 6,9.3/10,£420 to £700 pw
Large gite to let in Charente Maritime, PM005726,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM005726/index.htm,Bedrooms 4, Sleeps 8,8,£500 to £1200 pw
Holiday cottage in Brittany, BM005437,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM005437/index.htm,Bedrooms 4, Sleeps 8,7.7/10,£795 to £1295 pw
Beautiful house set in rural Poitou Charente, PM003585,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003585/index.htm,Bedrooms 3, Sleeps 8,9.8/10,£675 to £775 pw
"Cottage to let in Brittany, Quistinic 5km", BM003431_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BM003431_A/index.htm,Bedrooms 2, Sleeps 4,9.9/10,£350 to £570 pw
Beautiful Village House to Let in Migron, PM003681_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM003681_A/index.htm,Bedrooms 6, Sleeps 13,9.3/10,£295 to £1425 pw
Lovely gite for couples to let in Charente, PC006306,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC006306/index.htm,Bedrooms 1, Sleeps 2,2,£350 pw
"Cottage with pool to let nr Le Mans, Loire", LS006939,https://www.holidayfrancedirect.co.uk/holiday-rentals/LS006939/index.htm,Bedrooms 3, Sleeps 6,6,£575 to £1200 pw
Self catering holiday home with pool nr Gard, RG004074,https://www.holidayfrancedirect.co.uk/holiday-rentals/RG004074/index.htm,Bedrooms 7, Sleeps 11,11,£1330 to £1540 pw
Apartment for holiday rental in Vienne, PV002955,https://www.holidayfrancedirect.co.uk/holiday-rentals/PV002955/index.htm,Bedrooms 1, Sleeps 4,10/10,£495 to £545 pw
Spacious holiday property near Cahors, ML006893,https://www.holidayfrancedirect.co.uk/holiday-rentals/ML006893/index.htm,Bedrooms 3, Sleeps 8,8,£700 to £1650 pw
Holiday cottages to let in Normandy, NO007230,https://www.holidayfrancedirect.co.uk/holiday-rentals/NO007230/index.htm,Bedrooms 1, Sleeps 2,2,£399 to £536 pw
"Rural Gite in Vendee, heated pool for rental", LV005671,https://www.holidayfrancedirect.co.uk/holiday-rentals/LV005671/index.htm,Bedrooms 2, Sleeps 4,10/10,£475 to £665 pw
"Lavendar gite in Cotes d'Armor, self catering", BN003895_A,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN003895_A/index.htm,Bedrooms 2, Sleeps 6,10/10,£645 to £675 pw
"Stone house with large private pool, Charente", PC005843,https://www.holidayfrancedirect.co.uk/holiday-rentals/PC005843/index.htm,Bedrooms 3, Sleeps 6,9.9/10,£1075 to £1350 pw
Restored Water Mill to let in Deux Sevres, PS005964,https://www.holidayfrancedirect.co.uk/holiday-rentals/PS005964/index.htm,Bedrooms 3, Sleeps 6,10/10,£495 to £1395 pw
Gite for holiday rental shared pool nr Matha, PM002983_B,https://www.holidayfrancedirect.co.uk/holiday-rentals/PM002983_B/index.htm,Bedrooms 2, Sleeps 5,5,£400 to £905 pw
Cottage for three to let in Callac Brittany, BN006502,https://www.holidayfrancedirect.co.uk/holiday-rentals/BN006502/index.htm,Bedrooms 1, Sleeps 3,3,£350 to £490 pw
